nrActors,degree,execTime,nrScenarios,tokenSize,simTime
20,2,20,2,2,0.019131183624267578
20,2,20,2,7,0.021287918090820312
20,2,20,2,12,0.021068572998046875
20,2,20,2,17,0.020001888275146484
20,2,20,2,22,0.019205093383789062
20,2,20,2,27,0.019669055938720703
20,2,20,2,32,0.017107009887695312
20,2,20,2,37,0.017488479614257812
20,2,20,2,42,0.021116256713867188
20,2,20,2,47,0.017686128616333008
